Number,Condition
AUT0001716,cmdb_ci=fb535e7cdb1f6410609eae3bd39619fe^ORbusiness_service=fb535e7cdb1f6410609eae3bd39619fe^short_descriptionLIKEMonitorIT^short_descriptionLIKELogmon process^EQ
AUT0001713,short_descriptionSTARTSWITHtesting for EcoFr app^EQ
AUT0001711,short_descriptionLIKEWeblogic_Managed_Server_Down^EQ
AUT0001709,short_descriptionLIKEMonitorIT^cmdb_ci=b5539a7cdb1f6410609eae3bd3961983^ORbusiness_service=b5539a7cdb1f6410609eae3bd3961983^short_descriptionLIKEOBIP Process^EQ
AUT0001708,short_descriptionLIKEMonitorIT^short_descriptionLIKEsiebsvc process^cmdb_ci=b5539a7cdb1f6410609eae3bd3961983^ORbusiness_service=b5539a7cdb1f6410609eae3bd3961983^EQ
AUT0001706,assignment_group=1baa6b8b1b5fa4d0bdcb42a7b04bcb69^short_descriptionLIKEDynatrace: Connectivity problem^short_descriptionLIKE- cq-quickstart-*-standalone-quickstart.jar^ORshort_descriptionLIKEis not available  - Raise a P2 record to UKGRBRAND and call^EQ
AUT0001704,short_descriptionLIKEzcfisd01^ORshort_descriptionLIKEZCFISD01^ORshort_descriptionLIKEOFS_OFS_ParsingError^ORshort_descriptionLIKEConcurrent mode failure^ORshort_descriptionLIKEApplication error^short_descriptionNOT LIKEMDAID^assignment_group=32aae78b1b5fa4d0bdcb42a7b04bcb6d^business_serviceLIKEAPP06119^EQ
AUT0001701,assignment_group=96c9cae19707f1d0d368fbde2153affb^descriptionLIKEApplication down^ORdescriptionSTARTSWITHShutdown^EQ
AUT0001695,short_descriptionLIKENCL PACS - ETMA SYNC PORTS Failure^EQ
AUT0001693,short_descriptionLIKEGSrPACS SS tool DQ update^EQ
AUT0001692,short_descriptionLIKEPHP Fatal error^assignment_group=bd4a0e39972e619062627cce2153afca^business_serviceLIKEAPP13811^EQ
AUT0001687,short_descriptionLIKEField Schedule - Memory threshold breach^EQ
AUT0001686,short_description=blt15042045^assignment_group=75ba63cb1b5fa4d0bdcb42a7b04bcb87^EQ
AUT0001683,short_descriptionLIKEDynatrace: TSO Adapter in fault state^EQ
AUT0001682,short_descriptionLIKEDynatrace: CPU saturation^assignment_group=d8ba6f8b1b5fa4d0bdcb42a7b04bcb5b^EQ
AUT0001678,assignment_group=a2ba27cb1b5fa4d0bdcb42a7b04bcb83^short_descriptionLIKEXinetd Process down^EQ
AUT0001677,short_descriptionSTARTSWITHTesting for approval^EQ
AUT0001676,short_descriptionSTARTSWITHDynatrace: Automation error count increased^EQ
AUT0001663,cmdb_ci=b5539a7cdb1f6410609eae3bd3961983^u_record_producer=de1f1a241bf6159000aedd31b24bcb5b^variables.e777b9651b3ed5d000aedd31b24bcbf2=Yes^EQ
AUT0001660,short_descriptionLIKEDynatrace: CPU saturation^assignment_group=aaba27cb1b5fa4d0bdcb42a7b04bcb34^EQ
AUT0001659,short_descriptionLIKEMonitorIT^short_descriptionLIKECheck ZXTM error logs:/software/stm/log/error^assignment_group=0baa2b8b1b5fa4d0bdcb42a7b04bcb5c^EQ
AUT0001655,short_descriptionLIKEDynatrace: Host or monitoring unavailable^assignment_group=aaba27cb1b5fa4d0bdcb42a7b04bcb34^EQ
AUT0001647,assignment_group=c734f3191bfd7490bdcb42a7b04bcb25^EQ
AUT0001646,assignment_group=c734f3191bfd7490bdcb42a7b04bcb25^EQ
AUT0001645,assignment_group=75ba63cb1b5fa4d0bdcb42a7b04bcb87^short_descriptionLIKEDynatrace: Metaspaceexception^EQ
AUT0001644,assignment_group=75ba63cb1b5fa4d0bdcb42a7b04bcb87^short_descriptionLIKEDynatrace: connectionpoolshutdownexception^EQ
AUT0001643,short_descriptionLIKEProcess unavailable - nginx^EQ
AUT0001637,short_descriptionLIKEOpenreach or ASC goods order stuck in their Amendment Strand^assignment_group=32aae78b1b5fa4d0bdcb42a7b04bcb6d^business_serviceLIKEAPP06119^EQ
AUT0001631,short_descriptionSTARTSWITHDynatrace: Disk space issue^caller_id=9d5de9e5930022005bc5f179077ffb07^category=application^subcategory=error^business_service=0a835abcdb1f6410609eae3bd3961986^short_descriptionLIKE/home/users/005tps/tertio/005tps/main/tmp^cmdb_ci!=d2649df71b397010c926ddb4e34bcb6f^cmdb_ci!=a6649df71b397010c926ddb4e34bcbd4^cmdb_ci!=98645df71b397010c926ddb4e34bcb43^cmdb_ci!=20645df71b397010c926ddb4e34bcb70^cmdb_ci!=60645df71b397010c926ddb4e34bcb77^cmdb_ci!=3d649df71b397010c926ddb4e34bcb14^cmdb_ci!=79649df71b397010c926ddb4e34bcb4d^cmdb_ci!=8a649df71b397010c926ddb4e34bcb54^EQ
AUT0001630,short_descriptionSTARTSWITHDynatrace: Disk space issue^caller_id=9d5de9e5930022005bc5f179077ffb07^category=application^subcategory=error^business_service=0a835abcdb1f6410609eae3bd3961986^short_descriptionLIKE/apps/provlogs/tertiolog^cmdb_ci!=d2649df71b397010c926ddb4e34bcb6f^cmdb_ci!=a6649df71b397010c926ddb4e34bcbd4^cmdb_ci!=98645df71b397010c926ddb4e34bcb43^cmdb_ci!=20645df71b397010c926ddb4e34bcb70^cmdb_ci!=60645df71b397010c926ddb4e34bcb77^cmdb_ci!=3d649df71b397010c926ddb4e34bcb14^cmdb_ci!=79649df71b397010c926ddb4e34bcb4d^cmdb_ci!=8a649df71b397010c926ddb4e34bcb54^EQ
AUT0001628,short_descriptionLIKE/genesys/data^ORshort_descriptionLIKEirp_disk Custom Severity^assignment_group=b0baaf8b1b5fa4d0bdcb42a7b04bcbf0^EQ
AUT0001627,short_descriptionSTARTSWITHsuktest3108^EQ
AUT0001626,cmdb_ci=236392bcdb1f6410609eae3bd3961932^short_descriptionLIKEOrder stuck at OFS leg^descriptionLIKEOrder stuck at OFS leg^EQ
AUT0001623,short_descriptionLIKEFilesystem problem /var 98-99 percent full^assignment_group=33aaeb8b1b5fa4d0bdcb42a7b04bcb5a^EQ
AUT0001622,short_descriptionLIKEDynatrace: Unix - /var - low disk space - blt20235^assignment_group=6dba23cb1b5fa4d0bdcb42a7b04bcbed^EQ
AUT0001621,short_descriptionLIKEblt20235001^EQ
AUT0001609,short_descriptionLIKENo process found for rule GCPDataCollector Monitoring^EQ
AUT0001599,short_descriptionLIKEbwp14195^short_descriptionSTARTSWITHMonitorIT^short_descriptionLIKEis not reachable^assignment_group=deaa678b1b5fa4d0bdcb42a7b04bcbaa^ORassignment_group=aaba27cb1b5fa4d0bdcb42a7b04bcb34^ORassignment_group=3eaaa78b1b5fa4d0bdcb42a7b04bcbf6^EQ
AUT0001590,short_descriptionLIKERef Only^ORshort_descriptionLIKEDynatrace: Memory saturation^ORshort_descriptionLIKEApplication error^ORshort_descriptionLIKEUnexpected low load^ORshort_descriptionLIKEFailure rate increase - ofsdb_any^assignment_group=b0baaf8b1b5fa4d0bdcb42a7b04bcbf0^ORassignment_group=efaaab8b1b5fa4d0bdcb42a7b04bcb5d^ORassignment_group=32aae78b1b5fa4d0bdcb42a7b04bcb6d^business_serviceLIKEIRP^ORbusiness_serviceISEMPTY^EQ
AUT0001588,short_descriptionLIKEJVM Domain Services APP20487^assignment_group=4f5624951b76f8d0f44ddb19b04bcbb5^business_serviceLIKEAPP20847^EQ
AUT0001587,short_descriptionLIKE2SA^ORshort_descriptionLIKERemove 2SA^assignment_group=0baa2b8b1b5fa4d0bdcb42a7b04bcb5c^ORassignment_group=92bae3cb1b5fa4d0bdcb42a7b04bcba8^business_serviceLIKEAPP04910^ORbusiness_serviceLIKEAPP07349^EQ
AUT0001586,short_descriptionLIKEDelete BT ID^ORshort_descriptionLIKEDelete BTID^ORshort_descriptionLIKEdelete bt id^ORshort_descriptionLIKEdelete BT ID^ORshort_descriptionLIKEDelete bt ID^ORshort_descriptionLIKEdelete BT id^ORshort_descriptionLIKEDelete BT id^assignment_group=92bae3cb1b5fa4d0bdcb42a7b04bcba8^business_serviceLIKEAPP04910^EQ
AUT0001585,short_descriptionLIKECheck ZXTM error logs:/software/stm/log/error^ORshort_descriptionLIKEAPP04910-zeus.zxtm on port 443^assignment_group=0baa2b8b1b5fa4d0bdcb42a7b04bcb5c^EQ
AUT0001584,short_descriptionLIKEJVM Domain Services APP20487^assignment_group=4f5624951b76f8d0f44ddb19b04bcbb5^business_serviceLIKEAPP20847^EQ
AUT0001583,cmdb_ci=b5539a7cdb1f6410609eae3bd3961983^short_descriptionLIKECancel-Complete AOTBB^descriptionLIKECancel-Complete AOTBB^descriptionLIKEOrderRef:^assignment_group=c9baef8b1b5fa4d0bdcb42a7b04bcb9c^EQ
AUT0001575,short_descriptionLIKEMOD_C_CFT_Monitoring^ORshort_descriptionLIKELIVE_47_CFT_Monitoring^EQ
AUT0001570,short_descriptionLIKEDynatrace: BaseClientException(reasonCode=17090^assignment_group=75ba63cb1b5fa4d0bdcb42a7b04bcb87^EQ
AUT0001563,short_descriptionLIKEmount utilization^assignment_group=6dba23cb1b5fa4d0bdcb42a7b04bcbed^EQ
AUT0001562,short_descriptionSTARTSWITHMonitorIT:^assignment_group=a9ba63cb1b5fa4d0bdcb42a7b04bcb26^short_descriptionLIKEIndepth^EQ
AUT0001560,short_descriptionLIKEcancel the order^ORshort_descriptionLIKEcancel^ORdescriptionLIKEcancel^ORshort_descriptionLIKECANCEL^ORshort_descriptionLIKECancel^ORdescriptionLIKECANCEL^ORdescriptionLIKECancel^assignment_group=32aae78b1b5fa4d0bdcb42a7b04bcb6d^ORassignment_group=70caebcb1b5fa4d0bdcb42a7b04bcb3e^short_descriptionLIKE KCI^EQ
AUT0001559,short_descriptionSTARTSWITHMonitorIT^assignment_group=a9ba63cb1b5fa4d0bdcb42a7b04bcb26^short_descriptionLIKECapacity Thresold exceeded in ETL^EQ
AUT0001558,short_descriptionSTARTSWITHMonitorIT^assignment_group=a9ba63cb1b5fa4d0bdcb42a7b04bcb26^short_descriptionLIKECapacity Thresold exceeded in ETL^EQ
AUT0001557,short_descriptionSTARTSWITHMonitorIT^assignment_group=a9ba63cb1b5fa4d0bdcb42a7b04bcb26^short_descriptionLIKECapacity Thresold exceeded in ETL^EQ
AUT0001556,"short_descriptionSTARTSWITHMonitorIT:^short_descriptionENDSWITHis not reachable.^assignment_group=78baaf8b1b5fa4d0bdcb42a7b04bcbfa^opened_atDATEPART6 am hour@javascript:gs.datePart('hour','6','GE')^opened_atDATEPART5 pm hour@javascript:gs.datePart('hour','17','LE')^EQ"
AUT0001556,short_descriptionLIKEkrishna Upgrade standard^EQ
AUT0001555,short_description=blt15042033^assignment_group=75ba63cb1b5fa4d0bdcb42a7b04bcb87^EQ
AUT0001548,short_descriptionLIKELow disk space - bld20235^assignment_group=6dba23cb1b5fa4d0bdcb42a7b04bcbed^EQ
AUT0001541,short_descriptionSTARTSWITHStandard assignment group test^EQ
AUT0001539,assignment_group=78baaf8b1b5fa4d0bdcb42a7b04bcbf1^short_descriptionSTARTSWITH^short_descriptionLIKEService^EQ
AUT0001537,short_descriptionSTARTSWITHMonitorIT:^short_descriptionENDSWITHis not reachable.^assignment_group=c1baef8b1b5fa4d0bdcb42a7b04bcb58^business_service=3a839abcdb1f6410609eae3bd396194c^ORbusiness_service=ba53da7cdb1f6410609eae3bd39619a8^EQ
AUT0001536,assignment_group=b0baaf8b1b5fa4d0bdcb42a7b04bcbf0^short_descriptionNOT LIKEconnect^short_descriptionLIKEFailureMinor^ORshort_descriptionLIKEConnectivity problem^ORshort_descriptionLIKEFailure_Major^ORshort_descriptionLIKEFailure_Minor^ORshort_descriptionLIKEminor^ORshort_descriptionLIKEapplicationFailureMinor^EQ
AUT0001533,short_descriptionLIKEAutomation_demo_APP13895^EQ
AUT0001527,short_descriptionLIKEProcess unavailable - haproxy^EQ
AUT0001518,short_descriptionSTARTSWITHMonitorIT:^short_descriptionENDSWITHis not reachable.^assignment_group=c1baef8b1b5fa4d0bdcb42a7b04bcb58^EQ
AUT0001517,short_descriptionSTARTSWITHDynatrace: Disk space issue^caller_id=9d5de9e5930022005bc5f179077ffb07^category=application^subcategory=error^business_service=0a835abcdb1f6410609eae3bd3961986^short_descriptionLIKE/APP13534/apps/tpstest^cmdb_ci!=d2649df71b397010c926ddb4e34bcb6f^cmdb_ci!=a6649df71b397010c926ddb4e34bcbd4^cmdb_ci!=98645df71b397010c926ddb4e34bcb43^cmdb_ci!=20645df71b397010c926ddb4e34bcb70^cmdb_ci!=60645df71b397010c926ddb4e34bcb77^cmdb_ci!=3d649df71b397010c926ddb4e34bcb14^cmdb_ci!=79649df71b397010c926ddb4e34bcb4d^cmdb_ci!=8a649df71b397010c926ddb4e34bcb54^EQ
AUT0001506,assignment_group=49ca2fcb1b5fa4d0bdcb42a7b04bcb04^descriptionLIKElower than 15 %^descriptionLIKEC:\^short_descriptionLIKEDynatrace:^short_descriptionLIKEAPP15401^EQ
AUT0001505,active=true^short_descriptionSTARTSWITHRetry automation mechanism for advance scenario^EQ
AUT0001501,assignment_group=9ba3b03b1b18711cf885dc66bd4bcb33^short_descriptionLIKELoost^short_descriptionLIKEsmpp.log^short_descriptionSTARTSWITHMonitorIT^EQ
AUT0001495,short_descriptionSTARTSWITHUtah Upgrade testing advance^EQ
AUT0001493,short_descriptionSTARTSWITHAcl automation case test^EQ
AUT0001474,business_serviceSTARTSWITHAPP12639^descriptionLIKEThe total available space on disk /home is lower than^EQ
AUT0001451,short_descriptionLIKENo process found for rule SMARTS Service Monitoring^EQ
AUT0001436,cmdb_ci=77431a7cdb1f6410609eae3bd3961954^short_descriptionLIKEDynatrace: Process unavailable^descriptionLIKEApache Web Server ohs^descriptionLIKEProcess unavailable^EQ
AUT0001435,short_descriptionLIKEZeroOps: Enterprise Cancel Beyond PONR^descriptionLIKEOrderRef:^business_service=b5539a7cdb1f6410609eae3bd3961983^EQ
AUT0001431,business_service=b5539a7cdb1f6410609eae3bd3961983^short_descriptionLIKEZeroOps: Enterprise Cancel Stuck Open Created^descriptionLIKEOrderRef:^EQ
AUT0001430,business_service=fc535a7cdb1f6410609eae3bd396193b^short_descriptionLIKEProcess unavailable^descriptionLIKEApache Web Server ohs^descriptionLIKEProcess unavailable^EQ
AUT0001429,cmdb_ci=d77396bcdb1f6410609eae3bd3961979^ORbusiness_service=d77396bcdb1f6410609eae3bd3961979^short_descriptionLIKEMonitorIT^short_descriptionLIKECFTMAIN process has failed^ORshort_descriptionLIKECFTPRX process has failed^ORshort_descriptionLIKECFTTCPS process has failed^ORshort_descriptionLIKECFTLOG process has failed^ORshort_descriptionLIKECFTPRO process has failed^ORshort_descriptionLIKECFTTCOM process has failed^NQbusiness_service=d77396bcdb1f6410609eae3bd3961979^short_descriptionLIKEDynatrace: Process unavailable^short_descriptionLIKECFTMAIN^ORshort_descriptionLIKECFTPRX^ORshort_descriptionLIKECFTTCPS^ORshort_descriptionLIKECFTLOG^ORshort_descriptionLIKECFTPRO^ORshort_descriptionLIKECFTTCOM^EQ
AUT0001423,short_descriptionLIKEENGCOM TIME OUTS^EQ
AUT0001422,short_descriptionLIKEDynatrace: Low disk^assignment_group=c734f3191bfd7490bdcb42a7b04bcb25^NQshort_descriptionLIKEDynatrace: Diskspace^assignment_group=c734f3191bfd7490bdcb42a7b04bcb25^EQ
AUT0001421,short_descriptionLIKETest_AIOPS_eASC^EQ
AUT0001414,short_descriptionLIKEAIops-BrandGov-test^assignment_group=1baa6b8b1b5fa4d0bdcb42a7b04bcb69^EQ
AUT0001413,short_descriptionLIKEDynatrace: Low disk space^assignment_group=b9ba63cb1b5fa4d0bdcb42a7b04bcb61^descriptionLIKEdisk H:\ is lower^EQ
AUT0001409,short_descriptionLIKEGBS Instantis AIops Test^EQ
AUT0001408,business_service=77431a7cdb1f6410609eae3bd3961905^short_descriptionLIKEProcess unavailable^descriptionLIKEScen^ORdescriptionLIKEauth^ORdescriptionLIKElive^EQ
AUT0001406,business_service=eb43d67cdb1f6410609eae3bd39619ed^short_descriptionLIKEProcess unavailable^descriptionLIKECFTMAIN^ORdescriptionLIKECFTLOG^ORdescriptionLIKECFTTCOM^ORdescriptionLIKECFTPRX^ORdescriptionLIKECFTTPRO^ORdescriptionLIKECFTTCPS^EQ
AUT0001403,short_descriptionLIKEAPP12639^short_descriptionLIKEAIPOS test for HRUAF^EQ
AUT0001398,short_descriptionLIKEAIOps test GBS_Analytics^EQ
AUT0001396,short_descriptionLIKEAutomation_demo_APP13895^EQ
AUT0001393,short_descriptionLIKEGenius^short_descriptionLIKETest hello world^EQ
AUT0001390,short_descriptionLIKEPileUp in techeligibility.deadletter.queuePileUp in techeligibility.deadletter.queuePileUp in techeligibility.deadletter.queuePileUp in techeligibility.deadletter.queuePileUp in techeligibility.deadletter.queuePileUp in techeligibility.deadletter.queuePileUp in techeligibility.deadletter.queuePileUp in techeligibility.deadletter.queue^EQ
AUT0001388,short_descriptionLIKEDynatrace: Low disk space^descriptionLIKEC:\ is lower^assignment_group=d8ba6f8b1b5fa4d0bdcb42a7b04bcb5b^EQ
AUT0001387,short_descriptionLIKESQL Server Service is down^assignment_group=34baaf8b1b5fa4d0bdcb42a7b04bcbed^short_descriptionSTARTSWITHMonitorIT^EQ
AUT0001383,short_descriptionLIKEMonitorIT^short_descriptionLIKESQL Server Agent Service is down SQLAgent$SQLC0024^assignment_group=34baaf8b1b5fa4d0bdcb42a7b04bcbed^EQ
AUT0001382,short_descriptionLIKEbwt14645006^assignment_group=34baaf8b1b5fa4d0bdcb42a7b04bcbed^short_descriptionLIKE A service set to autostart has crashed and is currently down Audiosrv^EQ
AUT0001379,short_descriptionLIKEAZTEC^short_descriptionLIKETest hello world^EQ
AUT0001377,short_descriptionLIKEMOD_C_CFT_Monitoring^ORshort_descriptionLIKELIVE_47_CFT_Monitoring^ORshort_descriptionLIKECFT_Monitoring^EQ
AUT0001372,short_descriptionLIKEMemory threshold breach - blt12527022^EQ
AUT0001370,short_descriptionLIKEProcess unavailable - haproxy^ORshort_descriptionLIKEDynatrace: Multiple infrastructure problems - haproxy^EQ
AUT0001362,short_descriptionLIKEProcess unavailable - nginx^EQ
AUT0001357,short_descriptionLIKEPMMIS daemon monitoring^EQ
AUT0001344,short_description=Dynatrace: Process unavailable - node_exporter^assignment_group=75ba63cb1b5fa4d0bdcb42a7b04bcb87^EQ
AUT0001343,short_description=blt15042037 Process unavailable-node_exporter^EQ
AUT0001332,short_descriptionSTARTSWITHsuk_servicenow_poc^EQ
AUT0001326,short_descriptionSTARTSWITHtesting automation case^EQ
AUT0001321,short_descriptionSTARTSWITHMonitorIT:^short_descriptionLIKECapacity threshold breached in Datapower^assignment_group=84baeb8b1b5fa4d0bdcb42a7b04bcbcc^EQ
AUT0001320,cmdb_ci=ec73d2bcdb1f6410609eae3bd3961999^ORcmdb_ci=c1931ebcdb1f6410609eae3bd39619f9^short_descriptionLIKEProcess unavailable^descriptionLIKEMongo Router^EQ
AUT0001312,short_descriptionLIKEDynatrace: Diskspace^ORshort_descriptionLIKEDynatrace: Low disk space^EQ
AUT0001310,short_descriptionLIKESmartsProcessMonitoring - blt07074084^EQ
AUT0001306,short_descriptionSTARTSWITHMonitorIT^short_descriptionLIKEProcess not runnign or high CPU or Memory utilization^ORshort_descriptionLIKEProcess not running or high CPU or RAM Utilization^assignment_group=5bbaa7cb1b5fa4d0bdcb42a7b04bcbb7^business_serviceLIKEAPP13769^EQ
AUT0001304,short_descriptionSTARTSWITHMonitorIT^short_descriptionLIKEProcess not runnign or high CPU or Memory utilization^ORshort_descriptionLIKEEither Process not running or high CPU or RAM Utilization^assignment_group=5bbaa7cb1b5fa4d0bdcb42a7b04bcbb7^business_serviceLIKEAPP13811^EQ
AUT0001303,short_descriptionSTARTSWITHMonitorIT^short_descriptionLIKEProcess not runnign or high CPU or Memory utilization^ORshort_descriptionLIKEEither Process not running or high CPU or RAM Utilization^assignment_group=5bbaa7cb1b5fa4d0bdcb42a7b04bcbb7^business_serviceLIKEAPP14798^EQ
AUT0001297,short_description=blt15042037^EQ
AUT0001290,short_descriptionLIKENo process found for rule SAM-TEST5 Monitoring^EQ
AUT0001282,descriptionLIKELow disk space^descriptionLIKEblt15401086^descriptionLIKEosmf^EQ
AUT0001281,assignment_group=49ca2fcb1b5fa4d0bdcb42a7b04bcb04^short_description=Dynatrace: CPU Usage - bwt15401025^EQ
AUT0001279,assignment_group=49ca2fcb1b5fa4d0bdcb42a7b04bcb04^short_descriptionLIKEDynatrace: CPU Usage - bwt15401025^EQ
AUT0001276,descriptionLIKESQL Server Instance^descriptionLIKEBT Consumer Nonprod^descriptionLIKEBlocked processes^short_descriptionLIKE49400^EQ
AUT0001275,assignment_group=49ca2fcb1b5fa4d0bdcb42a7b04bcb04^cmdb_ci=e44646b71bf5b010c926ddb4e34bcbff^short_descriptionLIKEProcess unavailable - MySQL^short_descriptionLIKEDynatrace^business_serviceLIKEDevOps CoE^EQ
AUT0001272,descriptionLIKEblt15401084^ORdescriptionLIKEGroup 2 - HACKATHON EVENT^EQ
AUT0001264,descriptionSTARTSWITHdb down^descriptionSTARTSWITHoracle^EQ
AUT0001256,descriptionLIKESQL Server Instance^descriptionLIKEBT Consumer Nonprod^descriptionLIKEBlocked processes^short_descriptionLIKE49400^EQ
AUT0001251,short_descriptionLIKEDynatrace: Low disk space^descriptionLIKEdisk C:\ is lower^assignment_group=aaba27cb1b5fa4d0bdcb42a7b04bcb34^EQ
AUT0001247,"short_descriptionLIKETest-MonitorIT: blt14386006-blt14386006 is not reachable-script-validation^assignment_group=cfba67cb1b5fa4d0bdcb42a7b04bcbe3^sys_created_onDATEPART10 pm hour@javascript:gs.datePart('hour','22','GE')^sys_created_onDATEPART5 am hour@javascript:gs.datePart('hour','5','LE')^EQ"
AUT0001246,assignment_group=d3aa6b8b1b5fa4d0bdcb42a7b04bcb07^short_descriptionLIKEDynatrace: Process unavailable^short_descriptionLIKEwls cluster restart^EQ
AUT0001245,short_descriptionSTARTSWITHblt15042037^EQ
AUT0001240,short_descriptionLIKEDynatrace - Test^short_descriptionLIKEHello World^assignment_group=0fba67cb1b5fa4d0bdcb42a7b04bcbd1^EQ
AUT0001233,assignment_group=d3aa6b8b1b5fa4d0bdcb42a7b04bcb07^short_descriptionLIKEDynatrace: Process unavailable^short_descriptionLIKEkafka.Kafka^EQ
AUT0001227,short_descriptionLIKESPRING BOOT INSTANCE DOWN^assignment_group=fdaae38b1b5fa4d0bdcb42a7b04bcbad^EQ
AUT0001226,short_descriptionLIKEEither Process not running or high CPU or RAM Utilization^ORshort_descriptionLIKEProcess not runnign or high CPU or Memory utilization^assignment_group=5bbaa7cb1b5fa4d0bdcb42a7b04bcbb7^short_descriptionSTARTSWITHMonitorIT^business_serviceLIKEAPP14003^EQ
AUT0001225,short_descriptionLIKEblp14393003^short_descriptionLIKETrap^short_descriptionSTARTSWITHMonitorIT^assignment_group=b0baaf8b1b5fa4d0bdcb42a7b04bcbf0^short_descriptionLIKEFailureMajor^short_descriptionLIKEconnect^ORshort_descriptionLIKEConnection^EQ
AUT0001224,assignment_group=a9ba63cb1b5fa4d0bdcb42a7b04bcb1a^short_descriptionSTARTSWITHMonitorIT^short_descriptionLIKESlow Responses from SAP^ORshort_descriptionLIKEEIS CHECK NOW^ORshort_descriptionLIKECHECK EMS SERVER AND MSG HUB are OK^EQ
AUT0001217,assignment_group=d3aa6b8b1b5fa4d0bdcb42a7b04bcb07^short_descriptionLIKEDynatrace: Process unavailable^short_descriptionLIKEApache Web Server^short_descriptionLIKEapache_80^EQ
AUT0001216,short_descriptionLIKEWindows IIS App Pool Recovery - UKGSSINTRA^assignment_group=74baaf8b1b5fa4d0bdcb42a7b04bcba0^short_descriptionLIKEDynatrace^EQ
AUT0001212,short_descriptionLIKESPRING BOOT INSATNCE^assignment_group=a5aae38b1b5fa4d0bdcb42a7b04bcb07^EQ
AUT0001209,short_descriptionLIKEMonitorIT^short_descriptionLIKEStunnel^assignment_group=70caebcb1b5fa4d0bdcb42a7b04bcb3e^EQ
AUT0001205,short_description=blt15042037^EQ
AUT0001198,short_descriptionLIKEDynatrace: Process unavailable - WebLogic^ORshort_descriptionLIKEDynatrace: Connectivity problem - WebLogic^descriptionLIKEProcess WebLogic^ORdescriptionLIKEprocess WebLogic^business_service=d77396bcdb1f6410609eae3bd3961979^EQ
AUT0001197,assignment_group=b0baaf8b1b5fa4d0bdcb42a7b04bcbf0^short_descriptionLIKEapplicationFailureMajo^short_descriptionLIKEmajor^EQ
AUT0001196,short_descriptionSTARTSWITHMonitorIT^short_descriptionLIKEniceSentinelAlarmSentinelFailures: Server is unavailable by ping-Server - create^assignment_group=34baaf8b1b5fa4d0bdcb42a7b04bcbed^EQ
AUT0001195,short_descriptionSTARTSWITHMonitorIT^short_descriptionLIKEethosIQ-Genesys-TServer-Service - ethosIQ-Genesys-Run-Service.exe failed. Please check service ethosIQ-Genesys-Run-Service.exe^assignment_group=78baaf8b1b5fa4d0bdcb42a7b04bcbf1^EQ
AUT0001193,short_descriptionLIKEProcess unavailable^descriptionLIKEMongo Router^business_service=c1931ebcdb1f6410609eae3bd39619f9^EQ
AUT0001191,short_descriptionLIKEDynatrace: Process unavailable - WebLogic^ORshort_descriptionLIKEDynatrace: Connectivity problem - WebLogic^descriptionLIKEProcess WebLogic^ORdescriptionLIKEprocess WebLogic^business_service=77431a7cdb1f6410609eae3bd3961954^EQ
AUT0001188,assignment_group=d3aa6b8b1b5fa4d0bdcb42a7b04bcb07^short_descriptionLIKEDynatrace: Process unavailable^short_descriptionLIKESpringBoot^short_descriptionLIKEordermgmtservice^short_descriptionLIKEcom.bt.ngautofix.ordermanagement.NgAutofixOrdermanagement^EQ
AUT0001187,assignment_group=d3aa6b8b1b5fa4d0bdcb42a7b04bcb07^short_descriptionLIKEDynatrace: Process unavailable^short_descriptionLIKESpringBoot^short_descriptionLIKEsnow-service^short_descriptionLIKEcom.bt.ngautofix.snow.service.NgAutofixSnowIntegrationSer^EQ
AUT0001172,business_service=b5539a7cdb1f6410609eae3bd3961983^short_descriptionLIKEDynatrace: Process unavailable - siebsvc^descriptionLIKEsiebsvc^descriptionLIKEProcess unavailable^EQ
AUT0001171,short_descriptionLIKEZeroOps: Enterprise Cancel Hanging Assets^business_service=b5539a7cdb1f6410609eae3bd3961983^descriptionLIKEOrderRef:^EQ
AUT0001168,assignment_group=34baaf8b1b5fa4d0bdcb42a7b04bcbed^short_descriptionSTARTSWITHMonitorIT:^short_descriptionLIKEA service set to autostart has crashed and is currently down SplunkForwarder^EQ
AUT0001166,short_descriptionLIKEMonitorIT^assignment_group=32aae78b1b5fa4d0bdcb42a7b04bcb6d^short_descriptionLIKE/wls_domains_logs^EQ
AUT0001165,short_descriptionSTARTSWITHMonitorIT:^short_descriptionLIKEWeb services call failed in ETW services^assignment_group=65ba63cb1b5fa4d0bdcb42a7b04bcb16^EQ
AUT0001164,short_descriptionSTARTSWITHMonitorIT:^short_descriptionLIKEprocess is down^assignment_group=71ba63cb1b5fa4d0bdcb42a7b04bcb42^EQ
AUT0001163,assignment_group=78baaf8b1b5fa4d0bdcb42a7b04bcbf1^short_descriptionSTARTSWITHMonitorIT:^short_descriptionLIKEuptime check in Nice Servers^EQ
AUT0001161,short_descriptionLIKESPRING BOOT INSTANCE DOWN^EQ
AUT0001160,assignment_group=5345f7a81b24ed10f885dc66bd4bcbff^short_descriptionLIKEDynatrace^short_descriptionLIKEConnectivity problem^short_descriptionLIKEafxngsrm2_cluster^short_descriptionLIKEmanaged1_afxngsrm2^ORshort_descriptionLIKEmanaged2_afxngsrm2^EQ
AUT0001159,short_descriptionSTARTSWITHMonitorIT^assignment_group=b0baaf8b1b5fa4d0bdcb42a7b04bcbf0^ORassignment_group=78baaf8b1b5fa4d0bdcb42a7b04bcbf1^short_descriptionLIKE/genesys/data^EQ
